simulationTime,numOfOrganisms,numOfPlants,maxnumOfOrganisms,maxNumOfPlants,longestLastingGenNum59,3,2,3,2,0,
10942,10,23,16,30,8,
10997,12,22,16,30,8,
11052,11,23,16,30,8,
11107,11,24,16,30,8,
11160,13,23,16,30,8,
11213,12,23,16,30,8,
11270,12,21,16,30,8,
11327,12,23,16,30,8,
11385,13,21,16,30,8,
11442,11,22,16,30,8,
11500,11,22,16,30,8,
11558,9,23,16,30,8,
11615,10,24,16,30,8,
11671,10,24,16,30,8,
11725,10,24,16,30,8,
11779,10,24,16,30,8,
11834,10,24,16,30,8,
11892,11,24,16,30,8,
11950,11,23,16,30,8,
12008,10,24,16,30,8,
12066,11,24,16,30,8,
12123,11,24,16,30,8,
12179,10,22,16,30,8,
12237,10,23,16,30,8,
12295,11,22,16,30,8,
12353,11,23,16,30,8,
12411,11,22,16,30,8,
12468,11,23,16,30,8,
12526,11,23,16,30,8,
12584,11,21,16,30,8,
12642,10,21,16,30,8,
12700,10,22,16,30,8,
12758,12,22,16,30,8,
12815,12,23,16,30,8,
12873,11,21,16,30,8,
12931,10,22,16,30,8,
12989,10,21,16,30,8,
13047,10,22,16,30,8,
13104,12,19,16,30,8,
13161,11,20,16,30,8,
13218,11,19,16,30,8,
13276,10,20,16,30,8,
13334,11,21,16,30,8,
13391,10,20,16,30,8,
13449,10,21,16,30,8,
13507,10,21,16,30,8,
13564,11,21,16,30,8,
13621,12,23,16,30,8,
13674,12,24,16,30,8,
13729,12,25,16,30,8,
13785,10,24,16,30,8,
13842,11,25,16,30,8,
13899,11,23,16,30,8,
13956,11,23,16,30,8,
14013,11,22,16,30,8,
14071,10,21,16,30,8,
14128,10,21,16,30,8,
14185,10,21,16,30,8,
14243,11,21,16,30,8,
14300,11,22,16,30,8,
14357,11,22,16,30,8,
14414,12,22,16,30,8,
